Points_0,Points_1,Points_2,Pressure_Coefficient
0.602749,0.96,-0.0185292,-0.0834817
0.600063,0.96,-0.0182183,-0.0750841
0.597005,0.96,-0.0178497,-0.0667207
0.594079,0.96,-0.0174817,-0.0584975
0.591279,0.96,-0.0171145,-0.0505196
0.588599,0.96,-0.0167482,-0.0427608
0.586033,0.96,-0.0163836,-0.0356686
0.583576,0.96,-0.0160216,-0.0305853
0.581222,0.96,-0.0156628,-0.0287153
0.578967,0.96,-0.0153068,-0.0316876
0.576806,0.96,-0.0149504,-0.0393497
0.574736,0.96,-0.0145874,-0.0500864
0.572756,0.96,-0.0142085,-0.0614294
0.570863,0.96,-0.0138032,-0.068456
0.569058,0.96,-0.0133612,-0.0645698
0.567342,0.96,-0.0128736,-0.0464845
0.565715,0.96,-0.0123331,-0.0120325
0.564182,0.96,-0.011735,0.0415319
0.562744,0.96,-0.0110769,0.112677
0.561405,0.96,-0.0103588,0.197795
0.560167,0.96,-0.00958441,0.292469
0.559033,0.96,-0.00875818,0.390771
0.558005,0.96,-0.00788489,0.486284
0.557084,0.96,-0.00697136,0.577307
0.556273,0.96,-0.00602297,0.659606
0.555577,0.96,-0.00504523,0.730095
0.554999,0.96,-0.0040447,0.782615
0.554546,0.96,-0.00302856,0.815761
0.554222,0.96,-0.00200722,0.821126
0.554031,0.96,-0.000992709,0.798701
0.553968,0.96,0,0.752412
0.554031,0.96,0.000992705,0.676881
0.554222,0.96,0.00200721,0.57708
0.554546,0.96,0.00302856,0.457355
0.554999,0.96,0.00404469,0.325738
0.555577,0.96,0.00504522,0.186177
0.556273,0.96,0.00602296,0.0431492
0.557084,0.96,0.00697134,-0.102323
0.558005,0.96,0.00788487,-0.24627
0.559033,0.96,0.00875817,-0.392266
0.560167,0.96,0.0095844,-0.533818
0.561405,0.96,0.0103588,-0.666856
0.562744,0.96,0.0110769,-0.79086
0.564182,0.96,0.011735,-0.90148
0.565715,0.96,0.0123331,-0.994932
0.567342,0.96,0.0128736,-1.07025
0.569058,0.96,0.0133613,-1.1278
0.570863,0.96,0.0138032,-1.1676
0.572756,0.96,0.0142085,-1.19167
0.574736,0.96,0.0145874,-1.20132
0.576806,0.96,0.0149504,-1.20036
0.578967,0.96,0.0153068,-1.19068
0.581222,0.96,0.0156628,-1.17326
0.583576,0.96,0.0160216,-1.15669
