Points_0,Points_1,Points_2,Pressure_Coefficient
0.504056,0.78,-0.0204463,-0.0678705
0.500912,0.78,-0.0200828,-0.0594432
0.497305,0.78,-0.0196474,-0.0511577
0.493877,0.78,-0.0192143,-0.0429819
0.490617,0.78,-0.0187838,-0.0351079
0.487517,0.78,-0.0183561,-0.0276398
0.484567,0.78,-0.0179324,-0.0211497
0.48176,0.78,-0.017514,-0.0171094
0.479089,0.78,-0.0171012,-0.0180036
0.476545,0.78,-0.0166925,-0.0238403
0.474123,0.78,-0.0162822,-0.0344294
0.471819,0.78,-0.015861,-0.0463582
0.46963,0.78,-0.0154169,-0.0581501
0.467552,0.78,-0.0149377,-0.0598053
0.465586,0.78,-0.0144128,-0.048519
0.463733,0.78,-0.0138339,-0.0216497
0.461992,0.78,-0.0131957,0.0239996
0.460366,0.78,-0.0124956,0.0881622
0.458857,0.78,-0.0117341,0.167529
0.457467,0.78,-0.0109149,0.257141
0.456194,0.78,-0.0100443,0.354331
0.455041,0.78,-0.00912779,0.447572
0.454006,0.78,-0.00817303,0.538793
0.453089,0.78,-0.00718704,0.622788
0.452292,0.78,-0.00617573,0.697127
0.451615,0.78,-0.00514578,0.758301
0.451061,0.78,-0.00410384,0.802433
0.450634,0.78,-0.00305782,0.827871
0.450332,0.78,-0.00201757,0.828246
0.450156,0.78,-0.000994039,0.805529
0.450099,0.78,0,0.763452
0.450156,0.78,0.00099403,0.696632
0.450332,0.78,0.00201757,0.608937
0.450634,0.78,0.00305781,0.502186
0.451061,0.78,0.00410382,0.383231
0.451615,0.78,0.00514577,0.254777
0.452292,0.78,0.00617572,0.121013
0.453089,0.78,0.00718702,-0.016574
0.454006,0.78,0.008173,-0.155562
0.455041,0.78,0.00912778,-0.296489
0.456194,0.78,0.0100443,-0.437333
0.457467,0.78,0.0109149,-0.57304
0.458857,0.78,0.0117341,-0.701558
0.460366,0.78,0.0124956,-0.820864
0.461992,0.78,0.0131957,-0.925802
0.463732,0.78,0.0138339,-1.01365
0.465586,0.78,0.0144128,-1.08311
0.467552,0.78,0.0149377,-1.13402
0.46963,0.78,0.0154169,-1.16742
0.471819,0.78,0.015861,-1.18369
0.474123,0.78,0.0162822,-1.18726
0.476545,0.78,0.0166925,-1.18146
0.479089,0.78,0.0171012,-1.1642
0.48176,0.78,0.017514,-1.14491
0.484567,0.78,0.0179324,-1.12696
0.487517,0.78,0.0183561,-1.10994
0.490617,0.78,0.0187837,-1.09505
0.493877,0.78,0.0192143,-1.08197
0.497305,0.78,0.0196474,-1.06968
0.500912,0.78,0.0200827,-1.05681
0.504056,0.78,0.0204463,-1.04901
0.50727,0.78,0.0208031,-1.04063
0.510557,0.78,0.0211532,-1.03246
0.51392,0.78,0.0214966,-1.02493
0.517364,0.78,0.0218337,-1.01731
0.520892,0.78,0.0221646,-1.00992
0.524508,0.78,0.0224895,-1.00353
0.528151,0.78,0.022803,-0.997183
0.531795,0.78,0.0231032,-0.990363
0.535441,0.78,0.023391,-0.983734
0.539087,0.78,0.0236669,-0.976791
0.542734,0.78,0.0239314,-0.967046
0.546382,0.78,0.0241853,-0.951901
0.55003,0.78,0.0244289,-0.929526
0.55368,0.78,0.0246627,-0.896544
0.557329,0.78,0.0248872,-0.848798
0.56098,0.78,0.0251027,-0.794943
0.564631,0.78,0.0253095,-0.746119
0.568282,0.78,0.0255079,-0.700424
0.571934,0.78,0.0256982,-0.659297
0.575586,0.78,0.0258806,-0.630172
0.579238,0.78,0.0260554,-0.615411
0.582891,0.78,0.0262227,-0.602671
0.586545,0.78,0.0263827,-0.596186
0.590198,0.78,0.0265355,-0.592887
0.593852,0.78,0.0266811,-0.604692
0.597506,0.78,0.0268198,-0.602462
0.60116,0.78,0.0269515,-0.611856
0.604815,0.78,0.0270763,-0.614478
0.60847,0.78,0.0271942,-0.623571
0.612125,0.78,0.0273052,-0.627706
0.61578,0.78,0.0274093,-0.636237
0.619435,0.78,0.0275065,-0.640718
0.623091,0.78,0.0275968,-0.646141
0.626746,0.78,0.0276801,-0.651424
0.630402,0.78,0.0277564,-0.65643
0.634058,0.78,0.0278257,-0.661428
0.637715,0.78,0.0278878,-0.666503
0.641371,0.78,0.0279428,-0.671533
0.645027,0.78,0.0279905,-0.676615
0.648684,0.78,0.0280307,-0.681653
0.65234,0.78,0.0280635,-0.686755
0.655997,0.78,0.0280888,-0.691809
0.659654,0.78,0.0281066,-0.696914
0.66331,0.78,0.028117,-0.70216
0.666967,0.78,0.0281198,-0.707763
0.670624,0.78,0.0281149,-0.713606
0.67428,0.78,0.0281021,-0.719668
0.677937,0.78,0.0280812,-0.725867
0.681594,0.78,0.028052,-0.731982
0.68525,0.78,0.0280146,-0.737757
0.688906,0.78,0.027969,-0.742958
0.692563,0.78,0.0279157,-0.74828
0.696219,0.78,0.0278549,-0.752316
0.699875,0.78,0.0277867,-0.754165
0.703531,0.78,0.0277109,-0.751124
0.707187,0.78,0.0276272,-0.740853
0.710842,0.78,0.0275354,-0.723063
0.714498,0.78,0.0274352,-0.699059
0.718153,0.78,0.0273268,-0.662846
0.721807,0.78,0.0272102,-0.593572
0.725462,0.78,0.0270858,-0.508397
0.729116,0.78,0.0269538,-0.427672
0.73277,0.78,0.0268143,-0.361969
0.736424,0.78,0.0266673,-0.311505
0.740078,0.78,0.0265128,-0.272151
0.743731,0.78,0.0263509,-0.242357
0.747384,0.78,0.0261818,-0.222955
0.751036,0.78,0.0260055,-0.210991
0.754688,0.78,0.0258222,-0.203461
0.75834,0.78,0.0256321,-0.198102
0.761991,0.78,0.0254353,-0.193726
0.765642,0.78,0.025232,-0.189961
0.769293,0.78,0.0250223,-0.186577
0.772943,0.78,0.0248063,-0.183205
0.776593,0.78,0.0245843,-0.179844
0.780243,0.78,0.0243564,-0.176437
0.783892,0.78,0.0241228,-0.172888
0.787541,0.78,0.0238837,-0.169219
0.791189,0.78,0.0236392,-0.165429
0.794838,0.78,0.0233896,-0.161521
0.798485,0.78,0.023135,-0.157487
0.802133,0.78,0.0228756,-0.153346
0.80578,0.78,0.0226115,-0.149088
0.809427,0.78,0.022343,-0.14474
0.813073,0.78,0.0220703,-0.140299
0.81672,0.78,0.0217934,-0.135784
0.820365,0.78,0.0215125,-0.131199
0.824011,0.78,0.0212279,-0.126557
0.827656,0.78,0.0209396,-0.121863
0.831301,0.78,0.0206478,-0.117136
0.834946,0.78,0.0203527,-0.112384
0.838591,0.78,0.0200542,-0.107616
0.842235,0.78,0.0197527,-0.10283
0.845879,0.78,0.0194481,-0.0980396
0.849523,0.78,0.0191405,-0.0932436
0.853166,0.78,0.01883,-0.0884519
0.856809,0.78,0.0185168,-0.0836687
0.860452,0.78,0.0182008,-0.0788998
