Points_0,Points_1,Points_2,Pressure_Coefficient
0.0818704,0.01,-0.0286471,0.0779621
0.0767626,0.01,-0.0280584,0.0869709
0.0708119,0.01,-0.027337,0.0950104
0.065235,0.01,-0.0266237,0.102847
0.0600086,0.01,-0.0259196,0.110059
0.0551108,0.01,-0.0252265,0.116172
0.0505209,0.01,-0.0245475,0.119911
0.0462195,0.01,-0.0238845,0.118109
0.0421893,0.01,-0.0232342,0.110321
0.0384154,0.01,-0.0225855,0.0971541
0.0348859,0.01,-0.0219191,0.0817641
0.0315914,0.01,-0.021213,0.0705293
0.0285249,0.01,-0.0204483,0.0688242
0.0256808,0.01,-0.0196117,0.0823506
0.023055,0.01,-0.018696,0.113803
0.0206439,0.01,-0.0177003,0.165632
0.0184441,0.01,-0.0166289,0.232127
0.0164505,0.01,-0.0154914,0.310229
0.0146561,0.01,-0.0143016,0.394145
0.0130541,0.01,-0.0130718,0.48128
0.0116364,0.01,-0.0118152,0.564713
0.0103932,0.01,-0.0105453,0.642665
0.00931737,0.01,-0.0092719,0.714118
0.0084013,0.01,-0.00800452,0.777257
0.00763694,0.01,-0.00675244,0.830356
0.00701816,0.01,-0.00552327,0.872524
0.00653597,0.01,-0.00432576,0.901617
0.0061809,0.01,-0.00316792,0.918241
0.00594363,0.01,-0.00205683,0.921111
0.00581241,0.01,-0.000999067,0.91149
0.0057705,0.01,0,0.892077
0.00581197,0.01,0.000999085,0.861788
0.00594401,0.01,0.00205674,0.81897
0.00618099,0.01,0.0031679,0.762674
0.00653547,0.01,0.00432592,0.694168
0.0070179,0.01,0.00552334,0.615643
0.00763683,0.01,0.00675243,0.527664
0.00840111,0.01,0.00800456,0.431965
0.00931732,0.01,0.00927184,0.329723
0.0103932,0.01,0.0105453,0.221537
0.0116362,0.01,0.0118152,0.108976
0.0130541,0.01,0.0130717,-0.00726903
0.0146561,0.01,0.0143014,-0.124607
0.0164505,0.01,0.0154913,-0.238559
0.0184443,0.01,0.0166284,-0.344698
0.020644,0.01,0.0177001,-0.437222
0.0230551,0.01,0.0186958,-0.504571
0.0256809,0.01,0.0196114,-0.536969
0.028525,0.01,0.0204482,-0.53079
0.0315916,0.01,0.0212126,-0.492772
0.034886,0.01,0.021919,-0.440165
0.0384155,0.01,0.0225853,-0.389372
0.0421894,0.01,0.0232343,-0.347463
0.0462196,0.01,0.0238845,-0.3145
0.0505209,0.01,0.0245479,-0.288556
0.0551109,0.01,0.0252267,-0.274572
0.0600088,0.01,0.0259191,-0.269382
0.0652353,0.01,0.0266233,-0.268508
0.0708122,0.01,0.027337,-0.269997
0.0767626,0.01,0.0280584,-0.271764
0.0818704,0.01,0.0286468,-0.277247
0.0869821,0.01,0.0292089,-0.280078
0.0920973,0.01,0.029746,-0.284131
0.097216,0.01,0.0302593,-0.288043
0.102338,0.01,0.03075,-0.291969
0.107463,0.01,0.0312196,-0.29591
0.112591,0.01,0.0316692,-0.299865
0.117721,0.01,0.0320997,-0.303832
0.122852,0.01,0.0325122,-0.307766
0.127985,0.01,0.0329076,-0.31165
0.133119,0.01,0.0332866,-0.315495
0.138254,0.01,0.0336501,-0.319299
0.14339,0.01,0.0339988,-0.323054
0.148527,0.01,0.0343333,-0.32678
0.153665,0.01,0.0346543,-0.330526
0.158803,0.01,0.0349625,-0.334323
0.163943,0.01,0.0352582,-0.338158
0.169083,0.01,0.0355418,-0.342005
0.174224,0.01,0.0358137,-0.34586
0.179365,0.01,0.0360742,-0.34971
0.184507,0.01,0.0363237,-0.353598
0.189649,0.01,0.0365625,-0.357553
0.194792,0.01,0.0367908,-0.361599
0.199935,0.01,0.037009,-0.365768
0.205079,0.01,0.0372172,-0.370048
0.210223,0.01,0.0374155,-0.374421
0.215367,0.01,0.0376039,-0.378859
0.220512,0.01,0.0377824,-0.383355
0.225657,0.01,0.037951,-0.387913
0.230803,0.01,0.0381098,-0.39254
0.235948,0.01,0.0382588,-0.397253
0.241094,0.01,0.0383979,-0.402042
0.246241,0.01,0.0385273,-0.406938
0.251387,0.01,0.0386469,-0.411942
0.256534,0.01,0.0387566,-0.417038
0.261681,0.01,0.0388562,-0.422204
0.266828,0.01,0.0389457,-0.42743
0.271975,0.01,0.0390251,-0.432723
0.277123,0.01,0.0390941,-0.438072
0.28227,0.01,0.0391528,-0.443461
0.287418,0.01,0.0392009,-0.448868
0.292566,0.01,0.0392386,-0.454272
0.297714,0.01,0.0392655,-0.459714
0.302861,0.01,0.0392818,-0.465279
0.308009,0.01,0.0392874,-0.470968
0.313157,0.01,0.0392821,-0.476782
0.318305,0.01,0.0392656,-0.482649
0.323453,0.01,0.0392377,-0.488436
0.328601,0.01,0.039198,-0.493986
0.333748,0.01,0.0391466,-0.499232
0.338896,0.01,0.0390837,-0.504238
0.344043,0.01,0.0390097,-0.509181
0.34919,0.01,0.038925,-0.514269
0.354337,0.01,0.0388298,-0.519646
0.359484,0.01,0.0387238,-0.525302
0.364631,0.01,0.0386067,-0.531098
0.369777,0.01,0.0384781,-0.536871
0.374923,0.01,0.0383379,-0.542463
0.380069,0.01,0.0381858,-0.547581
0.385214,0.01,0.0380222,-0.552257
0.390359,0.01,0.0378475,-0.557016
0.395503,0.01,0.0376618,-0.559769
0.400648,0.01,0.0374654,-0.559572
0.405791,0.01,0.0372585,-0.57716
0.410935,0.01,0.0370409,-0.573035
0.416077,0.01,0.0368128,-0.578971
0.42122,0.01,0.0365744,-0.578348
0.426362,0.01,0.036326,-0.592376
0.431503,0.01,0.0360678,-0.589463
0.436644,0.01,0.0357998,-0.594048
0.441784,0.01,0.0355225,-0.593555
0.446924,0.01,0.0352358,-0.605401
0.452064,0.01,0.0349401,-0.603149
0.457203,0.01,0.0346355,-0.603559
0.462341,0.01,0.0343222,-0.613847
0.467479,0.01,0.0340005,-0.61163
0.472616,0.01,0.0336708,-0.616103
0.477753,0.01,0.0333334,-0.614336
0.482889,0.01,0.0329885,-0.626614
0.488025,0.01,0.0326363,-0.620593
0.493161,0.01,0.0322771,-0.638275
0.498295,0.01,0.0319111,-0.632016
0.50343,0.01,0.0315386,-0.646289
0.508564,0.01,0.0311597,-0.643262
0.513697,0.01,0.0307748,-0.650433
0.51883,0.01,0.0303841,-0.654804
0.523963,0.01,0.0299878,-0.660871
0.529095,0.01,0.0295861,-0.665303
0.534227,0.01,0.0291794,-0.667649
0.539358,0.01,0.0287677,-0.668133
0.544489,0.01,0.0283512,-0.65914
0.54962,0.01,0.0279302,-0.681776
0.55475,0.01,0.0275047,-0.566355
0.55988,0.01,0.027075,-0.612179
0.56501,0.01,0.0266412,-0.424442
0.570139,0.01,0.0262033,-0.405238
0.575268,0.01,0.0257615,-0.348141
0.580396,0.01,0.0253157,-0.327022
0.585525,0.01,0.0248659,-0.303949
0.590652,0.01,0.0244122,-0.285786
0.59578,0.01,0.0239547,-0.271457
0.600907,0.01,0.0234934,-0.258524
0.606034,0.01,0.0230282,-0.244584
0.611161,0.01,0.0225592,-0.231997
0.616287,0.01,0.0220863,-0.223936
0.621412,0.01,0.0216092,-0.212824
0.626538,0.01,0.0211279,-0.206346
0.631663,0.01,0.0206422,-0.194682
0.636787,0.01,0.020152,-0.184429
0.641911,0.01,0.019657,-0.178375
0.647035,0.01,0.0191573,-0.168135
0.652158,0.01,0.0186525,-0.161969
0.657281,0.01,0.0181425,-0.149913
0.662402,0.01,0.017627,-0.144316
0.667524,0.01,0.0171059,-0.133521
0.672645,0.01,0.0165789,-0.128219
0.677765,0.01,0.016046,-0.115854
0.682885,0.01,0.0155069,-0.109342
0.688003,0.01,0.0149613,-0.097846
0.693122,0.01,0.014409,-0.0915599
0.698239,0.01,0.01385,-0.0795263
0.703356,0.01,0.0132843,-0.0722297
0.708472,0.01,0.0127119,-0.0596517
0.713587,0.01,0.012133,-0.052281
0.718701,0.01,0.0115464,-0.0396657
0.723815,0.01,0.0109496,-0.0300606
0.728926,0.01,0.0103386,-0.0162128
0.734036,0.01,0.00971065,-0.0036395
0.739143,0.01,0.00906589,0.0111049
0.744249,0.01,0.00841172,0.0270009
0.749355,0.01,0.00775282,0.0420852
0.75446,0.01,0.00709184,0.058195
0.759565,0.01,0.00642793,0.0737017
0.764669,0.01,0.00576108,0.0900463
0.769774,0.01,0.00509359,0.106479
0.774878,0.01,0.00442588,0.122694
0.779983,0.01,0.00375805,0.138546
0.784581,0.01,0.00315636,0.151882
0.788582,0.01,0.00263277,0.165015
0.792065,0.01,0.0021771,0.176583
0.795096,0.01,0.00178048,0.186685
0.797734,0.01,0.00143543,0.19587
0.800027,0.01,0.00113539,0.204177
0.802021,0.01,0.000874503,0.211693
0.803755,0.01,0.000647647,0.218474
0.805263,0.01,0.000450386,0.224707
0.806575,0.01,0.000278858,0.230698
0.807715,0.01,0.000129704,0.236394
0.808706,0.01,0,0.246078
0.807715,0.01,-0.000129815,0.243153
0.806575,0.01,-0.000279033,0.235078
0.805263,0.01,-0.000450578,0.22604
0.803755,0.01,-0.000647856,0.218239
0.802021,0.01,-0.000874744,0.210705
0.800027,0.01,-0.00113564,0.201657
0.797734,0.01,-0.00143566,0.192174
0.795096,0.01,-0.00178071,0.182502
0.792065,0.01,-0.00217729,0.171893
0.788582,0.01,-0.00263284,0.158151
0.784581,0.01,-0.00315637,0.144338
0.779983,0.01,-0.00375805,0.131038
0.774878,0.01,-0.00442579,0.115205
0.769774,0.01,-0.00509347,0.0974653
0.764669,0.01,-0.0057613,0.0819988
0.759565,0.01,-0.00642807,0.066763
0.75446,0.01,-0.00709182,0.0520103
0.749355,0.01,-0.00775272,0.0374342
0.744249,0.01,-0.00841177,0.0226158
0.739143,0.01,-0.00906655,0.00789381
0.734036,0.01,-0.00971077,-0.00579325
0.728926,0.01,-0.0103388,-0.0175944
0.723815,0.01,-0.0109497,-0.027456
0.718701,0.01,-0.0115464,-0.0359502
0.713587,0.01,-0.0121329,-0.0437736
0.708472,0.01,-0.0127119,-0.0513377
0.703356,0.01,-0.0132844,-0.0587589
0.698239,0.01,-0.0138502,-0.0659313
0.693122,0.01,-0.0144093,-0.0727686
0.688004,0.01,-0.0149614,-0.0792294
0.682885,0.01,-0.0155069,-0.0853538
0.677765,0.01,-0.0160459,-0.0911784
0.672645,0.01,-0.0165789,-0.096751
0.667524,0.01,-0.0171059,-0.102082
0.662402,0.01,-0.017627,-0.107185
0.657281,0.01,-0.0181425,-0.112063
0.652158,0.01,-0.0186525,-0.11674
0.647035,0.01,-0.0191572,-0.121241
0.641911,0.01,-0.0196569,-0.125595
0.636787,0.01,-0.0201517,-0.129833
0.631663,0.01,-0.0206419,-0.13397
0.626538,0.01,-0.0211276,-0.13803
0.621412,0.01,-0.021609,-0.142017
0.616287,0.01,-0.0220862,-0.145952
0.611161,0.01,-0.0225592,-0.149839
0.606034,0.01,-0.0230282,-0.153707
0.600907,0.01,-0.0234933,-0.157554
0.59578,0.01,-0.0239545,-0.161398
0.590652,0.01,-0.0244119,-0.165239
0.585525,0.01,-0.0248654,-0.169088
0.580396,0.01,-0.0253152,-0.172931
0.575268,0.01,-0.025761,-0.176791
0.570139,0.01,-0.026203,-0.180644
0.56501,0.01,-0.026641,-0.184515
0.55988,0.01,-0.0270749,-0.188367
0.55475,0.01,-0.0275047,-0.192232
0.54962,0.01,-0.0279302,-0.19606
0.544489,0.01,-0.0283512,-0.199888
0.539358,0.01,-0.0287677,-0.20366
0.534227,0.01,-0.0291794,-0.207415
0.529095,0.01,-0.0295862,-0.21109
0.523963,0.01,-0.0299878,-0.214722
0.51883,0.01,-0.0303841,-0.218248
0.513697,0.01,-0.0307748,-0.221698
0.508564,0.01,-0.0311597,-0.225028
0.50343,0.01,-0.0315386,-0.22823
0.498295,0.01,-0.0319112,-0.23128
0.493161,0.01,-0.0322772,-0.234198
0.488025,0.01,-0.0326365,-0.236821
0.482889,0.01,-0.0329887,-0.239484
0.477753,0.01,-0.0333337,-0.2417
0.472616,0.01,-0.0336711,-0.243815
0.467479,0.01,-0.0340007,-0.245578
0.462341,0.01,-0.0343223,-0.247077
0.457203,0.01,-0.0346355,-0.24829
0.452064,0.01,-0.0349401,-0.249228
0.446924,0.01,-0.0352359,-0.249924
0.441785,0.01,-0.0355226,-0.2503
0.436644,0.01,-0.0358001,-0.250409
0.431503,0.01,-0.0360681,-0.250216
0.426362,0.01,-0.0363264,-0.249711
0.42122,0.01,-0.0365748,-0.248859
0.416077,0.01,-0.0368131,-0.24765
0.410935,0.01,-0.0370411,-0.246085
0.405791,0.01,-0.0372585,-0.244164
0.400648,0.01,-0.0374654,-0.241937
0.395503,0.01,-0.0376617,-0.239484
0.390359,0.01,-0.0378473,-0.236852
0.385214,0.01,-0.0380221,-0.234028
0.380069,0.01,-0.0381858,-0.230952
0.374923,0.01,-0.0383379,-0.227547
0.369777,0.01,-0.0384783,-0.223762
0.364631,0.01,-0.0386069,-0.219623
0.359484,0.01,-0.038724,-0.215218
0.354337,0.01,-0.0388298,-0.210707
0.34919,0.01,-0.038925,-0.206225
0.344043,0.01,-0.0390097,-0.201811
0.338896,0.01,-0.0390837,-0.197407
0.333748,0.01,-0.0391466,-0.192898
0.328601,0.01,-0.039198,-0.188152
0.323453,0.01,-0.0392377,-0.183115
0.318305,0.01,-0.0392656,-0.177823
0.313157,0.01,-0.0392821,-0.172362
0.308009,0.01,-0.0392873,-0.166836
0.302861,0.01,-0.0392818,-0.161296
0.297714,0.01,-0.0392656,-0.155779
0.292566,0.01,-0.0392387,-0.150357
0.287418,0.01,-0.0392013,-0.144817
0.28227,0.01,-0.0391532,-0.139228
0.277123,0.01,-0.0390945,-0.133597
0.271975,0.01,-0.0390254,-0.127939
0.266828,0.01,-0.0389459,-0.122277
0.261681,0.01,-0.0388563,-0.116628
0.256534,0.01,-0.0387566,-0.111002
0.251387,0.01,-0.0386469,-0.105405
0.246241,0.01,-0.0385273,-0.0998358
0.241094,0.01,-0.0383978,-0.0942954
0.235948,0.01,-0.0382585,-0.0887865
0.230803,0.01,-0.0381094,-0.0833116
0.225657,0.01,-0.0379506,-0.0778768
0.220512,0.01,-0.0377819,-0.0724823
0.215367,0.01,-0.0376035,-0.0671273
0.210223,0.01,-0.0374153,-0.0618139
0.205079,0.01,-0.0372171,-0.0565417
0.199935,0.01,-0.037009,-0.0513071
0.194792,0.01,-0.0367908,-0.0461081
0.189649,0.01,-0.0365623,-0.0409451
