Points_0,Points_1,Points_2,Pressure_Coefficient
0.207978,0.24,-0.0261975,-0.0207582
0.203456,0.24,-0.0256761,-0.0120892
0.198206,0.24,-0.0250402,-0.00407506
0.193271,0.24,-0.0244108,0.00368388
0.188632,0.24,-0.0237887,0.0109991
0.184271,0.24,-0.0231752,0.0173167
0.180171,0.24,-0.0225728,0.0210565
0.176316,0.24,-0.0219833,0.0198968
0.172691,0.24,-0.021405,0.012251
0.169284,0.24,-0.0208303,-0.00133616
0.166084,0.24,-0.0202441,-0.0178497
0.163084,0.24,-0.0196279,-0.0328141
0.160276,0.24,-0.0189641,-0.0365849
0.157657,0.24,-0.018239,-0.0254317
0.155224,0.24,-0.0174438,0.0043757
0.152975,0.24,-0.016575,0.053863
0.150908,0.24,-0.0156337,0.122489
0.149021,0.24,-0.0146256,0.204845
0.14731,0.24,-0.0135611,0.295632
0.14577,0.24,-0.0124512,0.391198
0.144396,0.24,-0.0113062,0.481884
0.143182,0.24,-0.0101383,0.568872
0.14212,0.24,-0.00895686,0.648406
0.141206,0.24,-0.00777026,0.718785
0.140436,0.24,-0.00658722,0.777667
0.139803,0.24,-0.00541513,0.823586
0.139304,0.24,-0.00426198,0.854519
0.138932,0.24,-0.00313619,0.86942
0.138679,0.24,-0.00204547,0.867467
0.138538,0.24,-0.000997608,0.850367
0.138492,0.24,0,0.819694
0.138538,0.24,0.000997597,0.775858
0.138679,0.24,0.00204545,0.717124
0.138932,0.24,0.00313618,0.641992
0.139304,0.24,0.00426199,0.554046
0.139803,0.24,0.00541511,0.45442
0.140435,0.24,0.00658718,0.345093
0.141206,0.24,0.00777022,0.228816
0.14212,0.24,0.00895682,0.106824
0.143182,0.24,0.0101382,-0.0198416
0.144396,0.24,0.0113062,-0.150983
0.14577,0.24,0.0124512,-0.285245
0.14731,0.24,0.0135611,-0.418606
0.149021,0.24,0.0146255,-0.547822
0.150908,0.24,0.0156337,-0.670823
0.152975,0.24,0.016575,-0.782214
0.155224,0.24,0.0174438,-0.8767
0.157657,0.24,0.018239,-0.951508
0.160276,0.24,0.0189642,-1.00368
0.163084,0.24,0.0196279,-1.03439
0.166084,0.24,0.0202442,-1.04259
0.169284,0.24,0.0208303,-1.02679
0.172691,0.24,0.021405,-0.978783
0.176316,0.24,0.0219833,-0.885959
0.180171,0.24,0.0225728,-0.774961
0.184271,0.24,0.0231752,-0.702597
0.188632,0.24,0.0237887,-0.648316
0.193271,0.24,0.0244108,-0.577
0.198206,0.24,0.0250402,-0.501541
0.203456,0.24,0.0256761,-0.463662
0.207978,0.24,0.0261975,-0.459214
0.212523,0.24,0.0266984,-0.463651
0.217092,0.24,0.0271797,-0.468582
0.221686,0.24,0.0276422,-0.473171
0.226307,0.24,0.0280872,-0.475264
0.230955,0.24,0.0285155,-0.477412
0.235631,0.24,0.0289279,-0.479968
0.240317,0.24,0.0293236,-0.482311
0.245004,0.24,0.0297025,-0.483954
0.249692,0.24,0.0300657,-0.483355
0.254382,0.24,0.0304138,-0.482494
0.259072,0.24,0.0307476,-0.481937
0.263764,0.24,0.0310679,-0.481806
0.268456,0.24,0.0313752,-0.481919
0.27315,0.24,0.0316702,-0.482212
0.277844,0.24,0.0319532,-0.482614
0.282538,0.24,0.0322248,-0.483145
0.287233,0.24,0.0324854,-0.483802
0.291929,0.24,0.0327353,-0.484623
0.296626,0.24,0.0329749,-0.485627
0.301323,0.24,0.0332044,-0.486847
0.30602,0.24,0.0334242,-0.488283
0.310718,0.24,0.0336344,-0.48994
0.315416,0.24,0.0338353,-0.491806
0.320114,0.24,0.0340269,-0.493877
0.324813,0.24,0.0342094,-0.496169
0.329513,0.24,0.0343828,-0.498686
0.334212,0.24,0.0345473,-0.50142
0.338912,0.24,0.0347028,-0.504364
0.343612,0.24,0.0348494,-0.507512
0.348313,0.24,0.0349872,-0.510861
0.353013,0.24,0.035116,-0.514395
0.357714,0.24,0.0352358,-0.518106
0.362416,0.24,0.0353467,-0.521991
0.367117,0.24,0.0354485,-0.526045
0.371818,0.24,0.0355412,-0.530268
0.37652,0.24,0.0356248,-0.534653
0.381222,0.24,0.0356991,-0.539181
0.385924,0.24,0.035764,-0.543833
0.390626,0.24,0.0358194,-0.548572
0.395328,0.24,0.0358652,-0.553362
0.400031,0.24,0.0359013,-0.558187
0.404733,0.24,0.0359276,-0.563026
0.409436,0.24,0.0359444,-0.567981
0.414138,0.24,0.0359514,-0.573189
0.418841,0.24,0.0359485,-0.578618
0.423543,0.24,0.0359356,-0.584223
0.428246,0.24,0.0359122,-0.589855
0.432948,0.24,0.0358782,-0.595304
0.43765,0.24,0.0358334,-0.600389
0.442352,0.24,0.035778,-0.605067
0.447054,0.24,0.0357125,-0.609467
0.451756,0.24,0.0356372,-0.613824
0.456458,0.24,0.0355523,-0.61839
0.461159,0.24,0.0354577,-0.62329
0.465861,0.24,0.0353531,-0.62847
0.470562,0.24,0.0352379,-0.633745
0.475263,0.24,0.035112,-0.63889
0.479963,0.24,0.0349754,-0.643719
0.484663,0.24,0.0348282,-0.648191
0.489363,0.24,0.0346708,-0.652372
0.494063,0.24,0.0345035,-0.656305
0.498762,0.24,0.0343264,-0.660108
0.50346,0.24,0.0341396,-0.66414
0.508159,0.24,0.0339432,-0.667678
0.512857,0.24,0.0337372,-0.671273
0.517554,0.24,0.0335218,-0.674532
0.522251,0.24,0.033297,-0.677827
0.526948,0.24,0.0330632,-0.680717
0.531644,0.24,0.0328205,-0.683716
