Points_0,Points_1,Points_2,Pressure_Coefficient
0.668544,1.08,-0.017251,-0.1291
0.666165,1.08,-0.0169753,-0.119851
0.663472,1.08,-0.0166511,-0.110603
0.660881,1.08,-0.0163264,-0.101533
0.658387,1.08,-0.0160012,-0.0926416
0.655987,1.08,-0.0156757,-0.0839452
0.653677,1.08,-0.0153502,-0.0759277
0.651453,1.08,-0.0150256,-0.0695043
0.649311,1.08,-0.0147025,-0.0658216
0.647248,1.08,-0.0143809,-0.0660601
0.645262,1.08,-0.014059,-0.0712034
0.643349,1.08,-0.0137326,-0.0805389
0.641509,1.08,-0.0133944,-0.0916436
0.63974,1.08,-0.0130352,-0.10019
0.638044,1.08,-0.0126453,-0.101294
0.63642,1.08,-0.0122157,-0.0891037
0.634872,1.08,-0.0117384,-0.061241
0.633402,1.08,-0.0112072,-0.0156073
0.632013,1.08,-0.010618,0.0493599
0.63071,1.08,-0.00996871,0.130833
0.629496,1.08,-0.00926033,0.224249
0.628375,1.08,-0.00849648,0.32686
0.627351,1.08,-0.00768037,0.426033
0.626426,1.08,-0.00681758,0.523567
0.625605,1.08,-0.00591359,0.613384
0.624894,1.08,-0.00497295,0.692403
0.624298,1.08,-0.00400203,0.753826
0.623826,1.08,-0.00300744,0.79465
0.623485,1.08,-0.00199974,0.80639
0.623281,1.08,-0.000991751,0.786649
0.623215,1.08,0,0.738353
0.623281,1.08,0.000991746,0.657573
0.623484,1.08,0.00199974,0.549165
0.623826,1.08,0.00300744,0.42041
0.624298,1.08,0.00400202,0.27992
0.624894,1.08,0.00497295,0.13278
0.625605,1.08,0.00591358,-0.016684
0.626426,1.08,0.00681758,-0.166464
0.627351,1.08,0.00768037,-0.315708
0.628375,1.08,0.00849648,-0.463508
0.629496,1.08,0.00926033,-0.603774
0.63071,1.08,0.00996871,-0.734288
0.632013,1.08,0.010618,-0.853187
0.633402,1.08,0.0112072,-0.955876
0.634872,1.08,0.0117384,-1.04018
0.63642,1.08,0.0122157,-1.10596
0.638044,1.08,0.0126453,-1.15484
0.63974,1.08,0.0130352,-1.18781
