Points_0,Points_1,Points_2,Pressure_Coefficient
0.701442,1.14,-0.016612,-0.214062
0.699215,1.14,-0.0163539,-0.203344
0.696705,1.14,-0.0160519,-0.192227
0.694282,1.14,-0.0157487,-0.181091
0.691941,1.14,-0.0154444,-0.170084
0.689681,1.14,-0.0151392,-0.15926
0.687499,1.14,-0.0148332,-0.14903
0.685391,1.14,-0.0145273,-0.140316
0.683356,1.14,-0.0142219,-0.134171
0.681389,1.14,-0.0139173,-0.131839
0.679489,1.14,-0.0136123,-0.13449
0.677655,1.14,-0.0133035,-0.14158
0.675886,1.14,-0.0129845,-0.151657
0.674179,1.14,-0.0126473,-0.160654
0.672537,1.14,-0.0122824,-0.161773
0.670961,1.14,-0.0118807,-0.152065
0.669452,1.14,-0.0114341,-0.125892
0.668014,1.14,-0.0109359,-0.082234
0.66665,1.14,-0.010381,-0.019133
0.665366,1.14,-0.00976643,0.0618014
0.664164,1.14,-0.00909173,0.156427
0.66305,1.14,-0.00835982,0.26194
0.662027,1.14,-0.00757333,0.365253
0.661101,1.14,-0.00673686,0.467772
0.660274,1.14,-0.00585599,0.563512
0.659555,1.14,-0.0049348,0.648765
0.65895,1.14,-0.00397941,0.717074
0.658467,1.14,-0.00299626,0.764211
0.658117,1.14,-0.0019958,0.78168
0.657907,1.14,-0.000991243,0.765237
0.657837,1.14,0,0.717855
0.657907,1.14,0.000991241,0.635714
0.658117,1.14,0.0019958,0.523592
0.658467,1.14,0.00299627,0.390878
0.65895,1.14,0.00397941,0.24636
0.659555,1.14,0.0049348,0.0958951
0.660274,1.14,0.00585599,-0.0565396
0.661101,1.14,0.00673686,-0.207957
0.662027,1.14,0.00757333,-0.359471
0.66305,1.14,0.00835982,-0.507648
0.664164,1.14,0.00909173,-0.646661
0.665366,1.14,0.00976643,-0.775197
0.66665,1.14,0.010381,-0.890272
0.668014,1.14,0.0109359,-0.987829
0.669452,1.14,0.0114341,-1.06687
0.670961,1.14,0.0118807,-1.128
0.672537,1.14,0.0122824,-1.17272
0.674179,1.14,0.0126473,-1.20248
0.675886,1.14,0.0129846,-1.21734
0.677655,1.14,0.0133035,-1.22124
0.679489,1.14,0.0136123,-1.21695
0.681389,1.14,0.0139173,-1.20442
0.683356,1.14,0.0142219,-1.19115
0.685391,1.14,0.0145273,-1.17842
0.687499,1.14,0.0148332,-1.16717
0.689681,1.14,0.0151392,-1.15831
0.691941,1.14,0.0154444,-1.15059
0.694282,1.14,0.0157487,-1.14394
0.696705,1.14,0.0160519,-1.13796
0.699215,1.14,0.0163539,-1.13236
0.701442,1.14,0.016612,-1.12973
0.703768,1.14,0.0168722,-1.12689
0.706201,1.14,0.0171343,-1.12451
0.708744,1.14,0.0173979,-1.123
0.711403,1.14,0.0176627,-1.12146
0.714183,1.14,0.0179285,-1.11998
0.717093,1.14,0.018195,-1.11935
0.720041,1.14,0.0184537,-1.1187
0.72299,1.14,0.0187016,-1.11746
0.72594,1.14,0.0189391,-1.11631
0.728891,1.14,0.0191669,-1.1156
0.731842,1.14,0.0193853,-1.11443
0.734794,1.14,0.0195949,-1.11112
0.737747,1.14,0.0197961,-1.10606
0.7407,1.14,0.0199893,-1.10062
0.743653,1.14,0.0201747,-1.09497
0.746608,1.14,0.0203528,-1.0875
0.749563,1.14,0.0205237,-1.07646
0.752517,1.14,0.0206878,-1.05817
0.755473,1.14,0.0208452,-1.02513
0.758428,1.14,0.0209963,-0.944349
0.761384,1.14,0.021141,-0.805081
0.76434,1.14,0.0212797,-0.657911
0.767297,1.14,0.0214125,-0.55438
0.770254,1.14,0.0215394,-0.483095
0.773211,1.14,0.0216605,-0.430726
0.776168,1.14,0.021776,-0.384042
0.779126,1.14,0.0218858,-0.350239
0.782083,1.14,0.0219901,-0.319986
0.785041,1.14,0.0220888,-0.292914
0.787999,1.14,0.0221819,-0.269024
0.790957,1.14,0.0222695,-0.246815
0.793916,1.14,0.0223516,-0.227577
0.796874,1.14,0.0224281,-0.211138
0.799833,1.14,0.022499,-0.197901
0.802792,1.14,0.0225644,-0.187538
0.805751,1.14,0.022624,-0.180208
0.80871,1.14,0.022678,-0.175468
0.811669,1.14,0.0227262,-0.173121
0.814628,1.14,0.0227687,-0.172553
0.817587,1.14,0.0228052,-0.173243
0.820547,1.14,0.0228357,-0.175779
0.823506,1.14,0.0228603,-0.178987
0.826465,1.14,0.0228788,-0.182512
0.829425,1.14,0.0228913,-0.186439
0.832385,1.14,0.0228977,-0.190347
0.835344,1.14,0.0228981,-0.194099
0.838303,1.14,0.0228922,-0.19763
0.841263,1.14,0.02288,-0.200949
0.844222,1.14,0.0228611,-0.203953
0.847182,1.14,0.0228356,-0.206548
0.850141,1.14,0.0228034,-0.208691
0.8531,1.14,0.0227649,-0.21042
0.856059,1.14,0.0227201,-0.211792
0.859019,1.14,0.0226693,-0.212852
0.861978,1.14,0.0226126,-0.213608
0.864937,1.14,0.0225497,-0.214056
0.867895,1.14,0.0224804,-0.214124
0.870854,1.14,0.0224045,-0.213753
0.873812,1.14,0.0223219,-0.212912
0.87677,1.14,0.0222327,-0.211617
0.879728,1.14,0.0221369,-0.209932
0.882686,1.14,0.022035,-0.207917
0.885643,1.14,0.0219269,-0.205642
0.888601,1.14,0.0218127,-0.203116
0.891558,1.14,0.0216926,-0.20035
0.894515,1.14,0.0215665,-0.197344
0.897471,1.14,0.0214344,-0.194105
0.900428,1.14,0.0212965,-0.190653
0.903384,1.14,0.0211529,-0.187005
0.906339,1.14,0.0210037,-0.183201
0.909295,1.14,0.020849,-0.179255
0.91225,1.14,0.0206889,-0.175185
0.915205,1.14,0.0205236,-0.171007
0.91816,1.14,0.0203532,-0.166735
0.921114,1.14,0.0201778,-0.162375
0.924068,1.14,0.0199975,-0.157937
0.927022,1.14,0.0198124,-0.15345
0.929975,1.14,0.0196229,-0.148922
0.932928,1.14,0.0194289,-0.144373
0.935881,1.14,0.0192306,-0.139811
0.938834,1.14,0.0190282,-0.135248
0.941786,1.14,0.0188218,-0.130689
0.944738,1.14,0.0186115,-0.126143
0.94769,1.14,0.0183976,-0.121615
0.950641,1.14,0.01818,-0.117114
0.953592,1.14,0.017959,-0.112645
0.956543,1.14,0.0177348,-0.108215
0.959494,1.14,0.0175073,-0.103831
0.962445,1.14,0.0172768,-0.099503
0.965395,1.14,0.0170434,-0.0952375
0.968345,1.14,0.0168071,-0.0910373
0.971295,1.14,0.0165682,-0.0869042
0.974245,1.14,0.0163266,-0.0828409
0.977194,1.14,0.0160825,-0.0788484
0.980143,1.14,0.0158359,-0.074928
0.983092,1.14,0.015587,-0.0710759
0.986041,1.14,0.0153358,-0.0672919
0.98899,1.14,0.0150822,-0.0635799
0.991938,1.14,0.0148265,-0.0599406
0.994887,1.14,0.0145686,-0.0563702
0.997835,1.14,0.0143085,-0.0528697
1.00078,1.14,0.0140462,-0.049442
1.00373,1.14,0.0137818,-0.0460769
1.00668,1.14,0.0135152,-0.0427595
1.00962,1.14,0.0132463,-0.0394724
1.01257,1.14,0.0129752,-0.0362179
1.01552,1.14,0.0127018,-0.032984
1.01847,1.14,0.012426,-0.029764
1.02141,1.14,0.0121478,-0.0265547
1.02436,1.14,0.0118671,-0.0233426
1.0273,1.14,0.0115837,-0.0201175
1.03025,1.14,0.0112977,-0.016873
1.03319,1.14,0.0110089,-0.0135921
1.03614,1.14,0.0107172,-0.0102586
1.03909,1.14,0.0104224,-0.00685796
1.04203,1.14,0.0101244,-0.00337625
1.04497,1.14,0.00982318,0.000195641
1.04792,1.14,0.00951861,0.00386145
1.05086,1.14,0.00921061,0.00762315
1.0538,1.14,0.00889909,0.0114899
1.05675,1.14,0.00858386,0.0154911
1.05969,1.14,0.00826479,0.0196552
1.06263,1.14,0.0079418,0.0239912
1.06557,1.14,0.00761498,0.0284714
1.06851,1.14,0.00728447,0.0330326
1.07145,1.14,0.00695015,0.0376299
1.07439,1.14,0.00661117,0.0423574
1.07733,1.14,0.00626566,0.047533
1.08027,1.14,0.00591137,0.0535793
1.08321,1.14,0.00554721,0.0607755
1.08614,1.14,0.00517464,0.0689677
1.08908,1.14,0.0047972,0.0776252
1.09201,1.14,0.00441801,0.0862211
1.09495,1.14,0.00403772,0.0945924
1.09788,1.14,0.00365566,0.103271
1.10082,1.14,0.00327209,0.113134
1.10373,1.14,0.0028913,0.122407
1.10661,1.14,0.0025143,0.132774
1.10947,1.14,0.00214046,0.142485
1.11231,1.14,0.00176935,0.151453
1.11493,1.14,0.0014265,0.161442
1.1172,1.14,0.00112839,0.171142
1.11919,1.14,0.000869143,0.180072
1.12091,1.14,0.00064371,0.188914
1.12241,1.14,0.000447681,0.19747
1.12371,1.14,0.00027721,0.206985
1.12484,1.14,0.000128965,0.216592
1.12583,1.14,0,0.228865
1.12484,1.14,-0.000128965,0.223314
1.12371,1.14,-0.000277209,0.212521
1.12241,1.14,-0.000447681,0.202544
1.12091,1.14,-0.00064371,0.194047
1.11919,1.14,-0.000869143,0.185141
1.1172,1.14,-0.00112839,0.176089
1.11493,1.14,-0.0014265,0.16566
1.11231,1.14,-0.00176935,0.155065
1.10947,1.14,-0.00214046,0.145429
1.10661,1.14,-0.0025143,0.134921
1.10373,1.14,-0.0028913,0.123473
1.10082,1.14,-0.00327209,0.112498
1.09788,1.14,-0.00365566,0.10157
1.09495,1.14,-0.00403772,0.091724
1.09201,1.14,-0.00441801,0.0821135
1.08908,1.14,-0.0047972,0.0721932
1.08614,1.14,-0.00517464,0.0620963
1.08321,1.14,-0.00554721,0.0524795
1.08027,1.14,-0.00591137,0.0441113
1.07733,1.14,-0.00626566,0.0372498
1.07439,1.14,-0.00661117,0.0315864
1.07145,1.14,-0.00695015,0.0265372
1.06851,1.14,-0.00728447,0.0216675
1.06557,1.14,-0.00761498,0.0168344
1.06263,1.14,-0.0079418,0.0120817
1.05969,1.14,-0.00826479,0.00750035
1.05675,1.14,-0.00858386,0.00312774
1.0538,1.14,-0.00889909,-0.00104066
1.05086,1.14,-0.00921061,-0.00503059
1.04792,1.14,-0.00951861,-0.00888067
1.04497,1.14,-0.00982318,-0.0126018
1.04203,1.14,-0.0101244,-0.0162009
1.03909,1.14,-0.0104224,-0.0196755
1.03614,1.14,-0.0107172,-0.023038
1.03319,1.14,-0.0110089,-0.0263052
1.03025,1.14,-0.0112977,-0.0294982
1.0273,1.14,-0.0115837,-0.0326371
1.02436,1.14,-0.0118671,-0.0357475
1.02141,1.14,-0.0121478,-0.0388281
1.01847,1.14,-0.012426,-0.0419061
1.01552,1.14,-0.0127018,-0.0449789
