Points_0,Points_1,Points_2,Pressure_Coefficient
0.723373,1.18,-0.0161859,-0.337352
0.721249,1.18,-0.0159395,-0.329985
0.71886,1.18,-0.0156523,-0.322614
0.716548,1.18,-0.0153635,-0.315199
0.714311,1.18,-0.0150732,-0.307848
0.712144,1.18,-0.0147814,-0.300497
0.710047,1.18,-0.0144884,-0.293383
0.708017,1.18,-0.0141948,-0.287229
0.706052,1.18,-0.0139013,-0.283017
0.70415,1.18,-0.013608,-0.282062
0.702309,1.18,-0.0133141,-0.285358
0.700527,1.18,-0.0130167,-0.292863
0.698803,1.18,-0.0127103,-0.303287
0.697139,1.18,-0.0123871,-0.312564
0.695534,1.18,-0.0120383,-0.314846
0.693988,1.18,-0.0116549,-0.303485
0.692506,1.18,-0.0112284,-0.275435
0.69109,1.18,-0.0107519,-0.228145
0.689743,1.18,-0.0102197,-0.161174
0.688471,1.18,-0.0096284,-0.0761957
0.687278,1.18,-0.00897646,0.0227071
0.686168,1.18,-0.00826615,0.133715
0.685147,1.18,-0.00749986,0.243907
0.684219,1.18,-0.00668141,0.35304
0.683389,1.18,-0.00581628,0.456055
0.682664,1.18,-0.00490847,0.548358
0.682052,1.18,-0.00396374,0.625198
0.681562,1.18,-0.00298853,0.679803
0.681205,1.18,-0.00199305,0.70386
0.68099,1.18,-0.000990882,0.693596
0.680919,1.18,0,0.647916
0.68099,1.18,0.000990882,0.566088
0.681205,1.18,0.00199305,0.453632
0.681562,1.18,0.00298853,0.319651
0.682052,1.18,0.00396374,0.173678
0.682664,1.18,0.00490848,0.0217085
0.683389,1.18,0.00581628,-0.132375
0.684219,1.18,0.00668141,-0.28461
0.685147,1.18,0.00749986,-0.437211
0.686168,1.18,0.00826615,-0.58529
0.687278,1.18,0.00897646,-0.723077
0.688471,1.18,0.0096284,-0.849588
0.689743,1.18,0.0102197,-0.961412
0.69109,1.18,0.0107519,-1.05507
0.692506,1.18,0.0112284,-1.13067
0.693988,1.18,0.0116549,-1.19003
0.695534,1.18,0.0120383,-1.23363
0.697139,1.18,0.0123871,-1.26218
0.698803,1.18,0.0127103,-1.27724
0.700527,1.18,0.0130167,-1.28144
0.702309,1.18,0.0133141,-1.27846
0.70415,1.18,0.013608,-1.26512
0.706052,1.18,0.0139013,-1.25386
0.708017,1.18,0.0141948,-1.24046
0.710047,1.18,0.0144884,-1.22949
0.712144,1.18,0.0147814,-1.21551
0.714311,1.18,0.0150732,-1.20628
0.716548,1.18,0.0153635,-1.19283
0.71886,1.18,0.0156523,-1.17847
0.721249,1.18,0.0159395,-1.1657
0.723373,1.18,0.0161859,-1.15529
0.725602,1.18,0.0164354,-1.14082
0.727939,1.18,0.0166877,-1.13259
0.730391,1.18,0.0169423,-1.11262
0.732962,1.18,0.0171991,-1.09823
0.73566,1.18,0.0174577,-1.0775
0.738491,1.18,0.0177177,-1.05502
0.741362,1.18,0.0179703,-1.03172
0.744234,1.18,0.0182123,-1.00637
0.747106,1.18,0.0184443,-0.978695
0.74998,1.18,0.0186667,-0.950017
0.752854,1.18,0.01888,-0.919654
0.755729,1.18,0.0190847,-0.88237
0.758604,1.18,0.0192812,-0.835106
0.76148,1.18,0.0194698,-0.773133
0.764356,1.18,0.0196509,-0.699772
0.767233,1.18,0.0198249,-0.623999
0.77011,1.18,0.0199918,-0.556362
