Points_0,Points_1,Points_2,Pressure_Coefficient
0.738181,0.53,0.0231496,-0.132185
0.742308,0.53,0.0228135,-0.127302
0.746435,0.53,0.0224738,-0.122417
0.750561,0.53,0.0221306,-0.117526
0.754688,0.53,0.021784,-0.112641
0.758814,0.53,0.0214341,-0.107756
0.762939,0.53,0.021081,-0.102876
0.767065,0.53,0.0207246,-0.0980015
0.77119,0.53,0.0203652,-0.0931291
0.775315,0.53,0.0200027,-0.088254
0.77944,0.53,0.0196371,-0.0833749
0.783564,0.53,0.0192685,-0.0784879
0.787688,0.53,0.0188968,-0.0735837
0.791812,0.53,0.0185219,-0.0686538
0.795936,0.53,0.018144,-0.0636923
0.800059,0.53,0.0177627,-0.05869
0.804182,0.53,0.0173782,-0.053639
0.808305,0.53,0.0169903,-0.0485366
0.812427,0.53,0.0165988,-0.043365
0.816549,0.53,0.0162038,-0.038115
0.82067,0.53,0.015805,-0.0327733
0.824792,0.53,0.0154023,-0.0273201
0.828913,0.53,0.0149955,-0.0217691
0.833033,0.53,0.0145845,-0.0161021
0.837153,0.53,0.0141691,-0.0103056
0.841272,0.53,0.013749,-0.00437116
0.845391,0.53,0.0133243,0.00172372
0.84951,0.53,0.0128948,0.00798037
0.853628,0.53,0.0124604,0.0144016
0.857745,0.53,0.0120208,0.0210101
0.861862,0.53,0.0115758,0.0278378
0.865979,0.53,0.0111254,0.0348979
0.870094,0.53,0.0106694,0.0421599
0.874209,0.53,0.0102082,0.0495798
0.878324,0.53,0.00974175,0.0571213
0.882438,0.53,0.00926908,0.0648504
0.88655,0.53,0.00878788,0.0730049
0.890662,0.53,0.0082949,0.0819113
0.894772,0.53,0.00778806,0.0917896
0.89888,0.53,0.00726865,0.1025
0.902987,0.53,0.00674139,0.113573
0.907094,0.53,0.00621109,0.124617
0.9112,0.53,0.00567931,0.135349
0.915306,0.53,0.00514515,0.146164
0.919412,0.53,0.00460866,0.157455
0.923518,0.53,0.00407147,0.167935
0.927624,0.53,0.00353441,0.179846
0.931446,0.53,0.00303449,0.190365
0.934932,0.53,0.00257828,0.198489
0.938127,0.53,0.00216026,0.20722
0.941068,0.53,0.00177549,0.215863
0.943698,0.53,0.00143146,0.222976
0.945985,0.53,0.0011323,0.229658
0.947973,0.53,0.000872167,0.235821
0.949703,0.53,0.000645951,0.24142
0.951206,0.53,0.000449238,0.24683
0.952513,0.53,0.000278193,0.252235
0.95365,0.53,0.000129431,0.257507
0.954639,0.53,0,0.266369
0.95365,0.53,-0.000129431,0.263322
0.952513,0.53,-0.000278193,0.254758
0.951206,0.53,-0.000449238,0.246419
0.949703,0.53,-0.000645953,0.239043
0.947973,0.53,-0.000872167,0.231669
0.945985,0.53,-0.0011323,0.223365
0.943698,0.53,-0.00143146,0.214929
0.941068,0.53,-0.00177549,0.206248
0.938127,0.53,-0.00216026,0.194722
0.934932,0.53,-0.00257828,0.184109
0.931446,0.53,-0.00303449,0.174811
0.927624,0.53,-0.00353441,0.162684
0.923518,0.53,-0.00407147,0.148139
0.919412,0.53,-0.00460866,0.1359
0.915306,0.53,-0.00514515,0.123275
0.9112,0.53,-0.00567931,0.111197
0.907094,0.53,-0.00621109,0.0992527
0.902987,0.53,-0.00674139,0.0869434
0.89888,0.53,-0.00726865,0.0745182
0.894772,0.53,-0.00778806,0.0626763
0.890662,0.53,-0.0082949,0.0522202
0.88655,0.53,-0.00878788,0.0433442
0.882438,0.53,-0.00926908,0.035646
0.878324,0.53,-0.00974175,0.0285389
0.874209,0.53,-0.0102082,0.0216092
0.870094,0.53,-0.0106694,0.0147475
0.865979,0.53,-0.0111254,0.00801356
0.861862,0.53,-0.0115758,0.0015047
0.857745,0.53,-0.0120208,-0.00474528
0.853628,0.53,-0.0124604,-0.0107503
0.84951,0.53,-0.0128948,-0.0165446
0.845391,0.53,-0.0133243,-0.0221561
0.841272,0.53,-0.013749,-0.0276006
0.837153,0.53,-0.0141691,-0.0328812
0.833033,0.53,-0.0145845,-0.0380011
0.828913,0.53,-0.0149955,-0.042978
0.824792,0.53,-0.0154023,-0.0478368
0.82067,0.53,-0.015805,-0.0525968
0.816549,0.53,-0.0162038,-0.0572797
0.812427,0.53,-0.0165988,-0.0619047
0.808305,0.53,-0.0169903,-0.0664836
0.804182,0.53,-0.0173782,-0.0710269
0.800059,0.53,-0.0177627,-0.0755454
0.795936,0.53,-0.018144,-0.080052
0.791812,0.53,-0.0185219,-0.0845566
0.787688,0.53,-0.0188968,-0.089072
0.783564,0.53,-0.0192685,-0.0936109
0.77944,0.53,-0.0196371,-0.0981842
0.775315,0.53,-0.0200027,-0.102799
0.77119,0.53,-0.0203652,-0.107459
0.767065,0.53,-0.0207246,-0.112169
0.762939,0.53,-0.021081,-0.116931
0.758814,0.53,-0.0214341,-0.121741
0.754688,0.53,-0.021784,-0.126601
0.750561,0.53,-0.0221306,-0.131516
0.746435,0.53,-0.0224738,-0.136497
0.742308,0.53,-0.0228135,-0.14153
0.738181,0.53,-0.0231496,-0.146616
0.734053,0.53,-0.0234819,-0.151748
0.729925,0.53,-0.0238102,-0.156921
0.725797,0.53,-0.0241345,-0.162131
0.721669,0.53,-0.0244546,-0.167368
0.71754,0.53,-0.0247703,-0.172625
0.713411,0.53,-0.0250814,-0.177891
0.709281,0.53,-0.0253877,-0.183164
0.705151,0.53,-0.025689,-0.188416
0.701021,0.53,-0.0259852,-0.193666
0.69689,0.53,-0.026276,-0.198868
0.692759,0.53,-0.0265613,-0.20405
0.688628,0.53,-0.0268407,-0.209161
0.684496,0.53,-0.0271142,-0.214209
0.680364,0.53,-0.0273816,-0.219154
0.676231,0.53,-0.0276425,-0.224015
0.672098,0.53,-0.0278969,-0.228734
0.667965,0.53,-0.0281444,-0.23334
0.663831,0.53,-0.028385,-0.237767
0.659697,0.53,-0.0286183,-0.242051
0.655562,0.53,-0.0288443,-0.246136
0.651427,0.53,-0.0290628,-0.250067
0.647292,0.53,-0.0292736,-0.253782
0.643156,0.53,-0.0294765,-0.25729
0.639019,0.53,-0.0296714,-0.260538
0.634883,0.53,-0.0298581,-0.263527
0.630746,0.53,-0.0300364,-0.266212
0.626608,0.53,-0.0302063,-0.268627
0.622471,0.53,-0.0303677,-0.270767
0.618333,0.53,-0.0305205,-0.272721
0.614194,0.53,-0.0306648,-0.274405
0.610056,0.53,-0.0308003,-0.275898
0.605917,0.53,-0.0309267,-0.276923
0.601778,0.53,-0.0310437,-0.277533
0.597638,0.53,-0.0311513,-0.27759
0.593498,0.53,-0.0312495,-0.277189
0.589359,0.53,-0.0313387,-0.276483
0.585218,0.53,-0.0314191,-0.275645
0.581078,0.53,-0.031491,-0.274764
0.576938,0.53,-0.0315545,-0.273835
0.572797,0.53,-0.0316093,-0.272753
0.568657,0.53,-0.0316551,-0.271359
0.564516,0.53,-0.0316915,-0.269524
0.560375,0.53,-0.0317184,-0.267225
0.556234,0.53,-0.0317361,-0.264562
0.552094,0.53,-0.0317447,-0.26164
0.547953,0.53,-0.0317445,-0.258538
0.543812,0.53,-0.0317357,-0.255398
0.539671,0.53,-0.0317184,-0.252175
0.53553,0.53,-0.0316925,-0.248744
0.53139,0.53,-0.0316582,-0.24516
0.527249,0.53,-0.0316154,-0.241417
0.523108,0.53,-0.0315641,-0.237532
0.518968,0.53,-0.0315045,-0.233532
0.514828,0.53,-0.0314368,-0.229449
0.510688,0.53,-0.0313609,-0.225306
0.506548,0.53,-0.0312769,-0.221115
0.502408,0.53,-0.0311851,-0.216885
0.498268,0.53,-0.0310852,-0.21262
0.494129,0.53,-0.0309775,-0.208335
0.489989,0.53,-0.030862,-0.204035
0.48585,0.53,-0.0307386,-0.19974
0.481712,0.53,-0.0306074,-0.19544
0.477573,0.53,-0.0304684,-0.191134
0.473435,0.53,-0.0303215,-0.186831
0.469297,0.53,-0.0301667,-0.182535
0.465159,0.53,-0.030004,-0.178257
0.461022,0.53,-0.0298332,-0.173998
0.456885,0.53,-0.0296543,-0.169755
0.452748,0.53,-0.0294672,-0.165532
0.448612,0.53,-0.0292715,-0.161328
0.444476,0.53,-0.0290673,-0.157132
0.440341,0.53,-0.0288542,-0.152954
0.436206,0.53,-0.0286319,-0.148743
0.432072,0.53,-0.0284003,-0.144487
0.427938,0.53,-0.0281588,-0.140179
0.423805,0.53,-0.0279072,-0.135817
0.419672,0.53,-0.0276451,-0.131394
0.41554,0.53,-0.027372,-0.1269
0.411409,0.53,-0.0270874,-0.122301
0.407279,0.53,-0.0267908,-0.117591
0.40315,0.53,-0.0264815,-0.112658
0.399021,0.53,-0.0261588,-0.107481
0.394894,0.53,-0.0258221,-0.102076
0.390768,0.53,-0.0254706,-0.0964148
0.387303,0.53,-0.0251623,-0.0914796
0.386662,0.53,-0.0251052,-0.0905656
0.382615,0.53,-0.0247292,-0.0845303
0.378627,0.53,-0.0243421,-0.0782312
0.374693,0.53,-0.0239434,-0.0716845
0.370813,0.53,-0.0235325,-0.0649248
